bg_document_id,bg_url,en_url,match_status,en_document_id
10543,https://dskbank.bg/бизнес-клиенти/моят-бизнес/бизнес-карти/бизнес-кредитни-карти/детайли-за-бизнес-кредитни-карти/бизнес-клиенти/mastercard-business-credit-visa-business-credit-,https://dskbank.bg/en/business-clients/small-and-medium-business/business-cards/business-credit-cards/business-credit-card-details/business-clients/mastercard-business-credit-visa-credit,MATCHED,10814.0
10538,https://dskbank.bg/бизнес-клиенти/моят-бизнес/бизнес-карти/бизнес-дебитни-и-предплатени-карти/детайли-за-бизнес-дебитни-и-предплатени-карти/бизнес-клиенти/безконтактни-бизнес-дебитни-карти-,,UNMATCHED,
10438,https://dskbank.bg/бизнес-клиенти/моят-бизнес/бизнес-карти/бизнес-виртуални-карти/детайли-за-бизнес-виртуални-карти/бизнес-клиенти/виртуални-карти-за-бизнес-клиенти,,UNMATCHED,
12402,https://dskbank.bg/бизнес-клиенти/корпоративни-клиенти/продукти-и-услуги/финансиране/специализирано-финансиране,https://dskbank.bg/en/corporate-clients/corporate-clients/financing/specialized-financing,MATCHED,12344.0
12404,https://dskbank.bg/бизнес-клиенти/корпоративни-клиенти/продукти-и-услуги/финансиране/оборотно-финансиране,https://dskbank.bg/en/corporate-clients/corporate-clients/financing/working-capital-financing,MATCHED,12347.0
12394,https://dskbank.bg/бизнес-клиенти/корпоративни-клиенти/продукти-и-услуги/кешмениджмънт/пос-предложения/софтуерен-пос,https://dskbank.bg/en/corporate-clients/corporate-clients/cash-management/pos/software-pos,MATCHED,12338.0
12393,https://dskbank.bg/бизнес-клиенти/корпоративни-клиенти/продукти-и-услуги/кешмениджмънт/пос-предложения/пос-и-атм-устройства,https://dskbank.bg/en/corporate-clients/corporate-clients/cash-management/pos/pos-and-atms,MATCHED,12337.0
12395,https://dskbank.bg/бизнес-клиенти/корпоративни-клиенти/продукти-и-услуги/кешмениджмънт/пос-предложения/виртуален-пос,https://dskbank.bg/en/corporate-clients/corporate-clients/cash-management/pos/virtual-pos,MATCHED,12339.0
16303,https://dskbank.bg/бизнес-клиенти/корпоративни-клиенти/продукти-и-услуги/електронно-банкиране/мобилно-приложение-dsk-mcsign,https://dskbank.bg/en/corporate-clients/corporate-clients/internet-banking/dsk-mc-sign,MATCHED,16300.0
12336,https://dskbank.bg/бизнес-клиенти/корпоративни-клиенти/продукти-и-услуги/електронно-банкиране/мобилно-банкиране-dsk-business,https://dskbank.bg/en/corporate-clients/corporate-clients/internet-banking/mobile-banking,MATCHED,12298.0
12331,https://dskbank.bg/бизнес-клиенти/корпоративни-клиенти/продукти-и-услуги/електронно-банкиране/интернет-банкиране,https://dskbank.bg/en/corporate-clients/corporate-clients/internet-banking/internet-banking,MATCHED,12293.0
12335,https://dskbank.bg/бизнес-клиенти/корпоративни-клиенти/продукти-и-услуги/електронно-банкиране/банкиране-с-multicash,https://dskbank.bg/en/corporate-clients/corporate-clients/internet-banking/multicash-banking,MATCHED,12300.0
12333,https://dskbank.bg/бизнес-клиенти/корпоративни-клиенти/продукти-и-услуги/електронно-банкиране/dsk-mtoken,https://dskbank.bg/en/corporate-clients/corporate-clients/internet-banking/dsk-mtoken,MATCHED,12297.0
10251,https://dskbank.bg/бизнес-клиенти/застраховки/застраховка-сигурност-за-бизнеса,https://dskbank.bg/en/business-clients/insurance/business-security-insurance,MATCHED,10652.0
15589,https://dskbank.bg/бизнес-клиенти/застраховки/застраховка-комфорт-бизнес,https://dskbank.bg/en/business-clients/insurance/comfort-business-insurance,MATCHED,10653.0
10248,https://dskbank.bg/бизнес-клиенти/застраховки/застраховка-индустриален-пожар,https://dskbank.bg/en/business-clients/insurance/industrial-fire-insurance,MATCHED,10651.0
10390,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/управление-на-валутен-риск/уиндоу-форуърд,https://dskbank.bg/en/business-clients/global-markets-and-investments/fx-risk-management/window-fx-forward,MATCHED,17109.0
10392,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/управление-на-валутен-риск/обикновен-валутен-форуърд,https://dskbank.bg/en/business-clients/global-markets-and-investments/fx-risk-management/plain-fx-forward,MATCHED,17111.0
10391,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/управление-на-валутен-риск/гъвкав-валутен-форуърд,https://dskbank.bg/en/business-clients/global-markets-and-investments/fx-risk-management/flexi-fx-forward,MATCHED,17110.0
10388,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/управление-на-валутен-риск/валутна-опция,https://dskbank.bg/en/business-clients/global-markets-and-investments/fx-risk-management/fx-option,MATCHED,17105.0
17112,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/управление-на-валутен-риск/валутен-суап,https://dskbank.bg/en/business-clients/global-markets-and-investments/fx-risk-management/fx-swap,MATCHED,17108.0
10387,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/управление-на-валутен-риск/бинарна-опция,https://dskbank.bg/en/business-clients/global-markets-and-investments/fx-risk-management/binary-fx-option,MATCHED,17106.0
17113,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/управление-на-валутен-и-лихвен-риск/управление-на-лихвен-риск/лихвена-яка-редизайн,https://dskbank.bg/en/business-clients/global-markets-and-investments/fx-and-fx-derivative-products-trading/interest-rate-risk-management/interest-rate-collar,MATCHED,10698.0
10397,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/управление-на-валутен-и-лихвен-риск/управление-на-лихвен-риск/лихвен-таван,https://dskbank.bg/en/business-clients/global-markets-and-investments/fx-and-fx-derivative-products-trading/interest-rate-risk-management/interest-rate-cap,MATCHED,10700.0
10398,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/управление-на-валутен-и-лихвен-риск/управление-на-лихвен-риск/лихвен-суап,https://dskbank.bg/en/business-clients/global-markets-and-investments/fx-and-fx-derivative-products-trading/interest-rate-risk-management/interest-rate-swap,MATCHED,10701.0
17114,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/управление-на-валутен-и-лихвен-риск/управление-на-лихвен-риск/лихвен-под-редизайн,https://dskbank.bg/en/business-clients/global-markets-and-investments/fx-and-fx-derivative-products-trading/interest-rate-risk-management/interest-rate-floor,MATCHED,10699.0
10350,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/инвестиционно-посредничество/търговия-с-дългови-инструменти,https://dskbank.bg/en/business-clients/global-markets-and-investments/investment-intermediation/trade-in-debt-instruments,MATCHED,10686.0
10349,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/инвестиционно-посредничество/търговия-с-акции-и-борсово-търгувани-фондове,https://dskbank.bg/en/business-clients/global-markets-and-investments/investment-intermediation/trading-in-shares-and-exchange-traded-funds,MATCHED,12059.0
10348,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/инвестиционно-посредничество/структурирани-продукти,https://dskbank.bg/en/business-clients/global-markets-and-investments/investment-intermediation/structured-products,MATCHED,10664.0
10340,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/доверително-управление-на-индивидуален-портфейл,https://dskbank.bg/en/business-clients/global-markets-and-investments/discretionary-individual-portfolio-management,MATCHED,10656.0
10401,https://dskbank.bg/бизнес-клиенти/глобални-пазари-и-инвестиции/валутна-търговия,https://dskbank.bg/en/business-clients/global-markets-and-investments/fx-trading,MATCHED,10705.0
11421,https://dskbank.bg/premium-plan,https://dskbank.bg/en/premium-plan,MATCHED,16306.0
